,Feature,Feature_importance
0,CODE_GENDER_stdscl,0.08968763787835561
1,FLAG_OWN_CAR_stdscl,0.02006230643114666
2,FLAG_OWN_REALTY_stdscl,0.00021310138931631393
3,CNT_CHILDREN_stdscl,0.0007067290857083101
4,AMT_INCOME_TOTAL_stdscl,0.003231719864126507
5,AMT_CREDIT_stdscl,0.01871285213764333
6,AMT_ANNUITY_stdscl,0.07393704254718315
7,AMT_GOODS_PRICE_stdscl,0.021325613263305735
8,REGION_POPULATION_RELATIVE_stdscl,0.019437807781215597
9,DAYS_BIRTH_stdscl,0.04859718351127769
10,DAYS_EMPLOYED_stdscl,0.04972021841980086
11,DAYS_REGISTRATION_stdscl,0.012782957148577998
12,DAYS_ID_PUBLISH_stdscl,0.02744226105995628
13,OWN_CAR_AGE_stdscl,0.019760385429836744
14,FLAG_MOBIL_stdscl,0.0
15,FLAG_EMP_PHONE_stdscl,0.0
16,FLAG_WORK_PHONE_stdscl,0.017280437150762586
17,FLAG_CONT_MOBILE_stdscl,0.0
18,FLAG_PHONE_stdscl,0.0
19,FLAG_EMAIL_stdscl,0.0
20,CNT_FAM_MEMBERS_stdscl,0.0022572435802727946
21,REGION_RATING_CLIENT_stdscl,0.005030499602394141
22,REGION_RATING_CLIENT_W_CITY_stdscl,0.023567814639595112
23,HOUR_APPR_PROCESS_START_stdscl,0.002021981550491219
24,REG_REGION_NOT_LIVE_REGION_stdscl,0.0
25,REG_REGION_NOT_WORK_REGION_stdscl,8.067588687083718e-05
26,LIVE_REGION_NOT_WORK_REGION_stdscl,0.0
27,REG_CITY_NOT_LIVE_CITY_stdscl,0.008553399968750526
28,REG_CITY_NOT_WORK_CITY_stdscl,0.0
29,LIVE_CITY_NOT_WORK_CITY_stdscl,0.0002765640553231068
30,EXT_SOURCE_1_stdscl,0.045239712644300795
31,EXT_SOURCE_2_stdscl,0.15372735588373254
32,EXT_SOURCE_3_stdscl,0.14856340847994334
33,APARTMENTS_AVG_stdscl,0.0014248096427306298
34,BASEMENTAREA_AVG_stdscl,0.00011104309727453055
35,YEARS_BEGINEXPLUATATION_AVG_stdscl,0.003226262497415996
36,YEARS_BUILD_AVG_stdscl,0.002378829601426113
37,COMMONAREA_AVG_stdscl,0.0005423184490628006
38,ELEVATORS_AVG_stdscl,0.001108018923515169
39,ENTRANCES_AVG_stdscl,0.001757915257895009
40,FLOORSMAX_AVG_stdscl,0.0016047310259914948
41,FLOORSMIN_AVG_stdscl,0.0011554293458827646
42,LANDAREA_AVG_stdscl,0.0024490444870951013
43,LIVINGAPARTMENTS_AVG_stdscl,0.00022976306977381632
44,LIVINGAREA_AVG_stdscl,0.0019750508023577726
45,NONLIVINGAPARTMENTS_AVG_stdscl,0.0
46,NONLIVINGAREA_AVG_stdscl,0.0012788993498373904
47,APARTMENTS_MODE_stdscl,0.000255804896280163
48,BASEMENTAREA_MODE_stdscl,0.0004927600948524038
49,YEARS_BEGINEXPLUATATION_MODE_stdscl,0.002571353886099238
50,YEARS_BUILD_MODE_stdscl,0.0020386643261955818
51,COMMONAREA_MODE_stdscl,0.0015773239678279545
52,ELEVATORS_MODE_stdscl,0.0
53,ENTRANCES_MODE_stdscl,0.0005471797784049199
54,FLOORSMAX_MODE_stdscl,0.0015309541988270993
55,FLOORSMIN_MODE_stdscl,0.0
56,LANDAREA_MODE_stdscl,0.0036158093278646306
57,LIVINGAPARTMENTS_MODE_stdscl,0.0008069145167074046
58,LIVINGAREA_MODE_stdscl,0.0012314903491589175
59,NONLIVINGAPARTMENTS_MODE_stdscl,0.0006555548060970169
60,NONLIVINGAREA_MODE_stdscl,0.0011650200693913285
61,APARTMENTS_MEDI_stdscl,0.00147151816870467
62,BASEMENTAREA_MEDI_stdscl,0.0014475579157602354
63,YEARS_BEGINEXPLUATATION_MEDI_stdscl,0.005249510525776183
64,YEARS_BUILD_MEDI_stdscl,0.001161433984641661
65,COMMONAREA_MEDI_stdscl,0.001058571838513488
66,ELEVATORS_MEDI_stdscl,0.0013613931983582702
67,ENTRANCES_MEDI_stdscl,0.0013228014794505513
68,FLOORSMAX_MEDI_stdscl,0.0026018454792950344
69,FLOORSMIN_MEDI_stdscl,0.0016181164998357316
70,LANDAREA_MEDI_stdscl,0.00022375518817980557
71,LIVINGAPARTMENTS_MEDI_stdscl,0.0003715391589964179
72,LIVINGAREA_MEDI_stdscl,0.0011167130313602131
73,NONLIVINGAPARTMENTS_MEDI_stdscl,0.0002794973940640018
74,NONLIVINGAREA_MEDI_stdscl,0.002809845612473427
75,TOTALAREA_MODE_stdscl,0.002169748211928675
76,OBS_30_CNT_SOCIAL_CIRCLE_stdscl,0.0010382680961110253
77,DEF_30_CNT_SOCIAL_CIRCLE_stdscl,0.00870649870984904
78,OBS_60_CNT_SOCIAL_CIRCLE_stdscl,0.0023738206700792104
79,DEF_60_CNT_SOCIAL_CIRCLE_stdscl,0.020129491877424934
80,DAYS_LAST_PHONE_CHANGE_stdscl,0.00893089633052896
81,FLAG_DOCUMENT_2_stdscl,0.0
82,FLAG_DOCUMENT_3_stdscl,0.0027000917106066195
83,FLAG_DOCUMENT_4_stdscl,0.0
84,FLAG_DOCUMENT_5_stdscl,0.0
85,FLAG_DOCUMENT_6_stdscl,5.069568909388098e-06
86,FLAG_DOCUMENT_7_stdscl,0.0
87,FLAG_DOCUMENT_8_stdscl,0.00033726947588761644
88,FLAG_DOCUMENT_9_stdscl,0.0
89,FLAG_DOCUMENT_10_stdscl,0.0
90,FLAG_DOCUMENT_11_stdscl,0.0
91,FLAG_DOCUMENT_12_stdscl,0.0
92,FLAG_DOCUMENT_13_stdscl,0.0
93,FLAG_DOCUMENT_14_stdscl,0.0
94,FLAG_DOCUMENT_15_stdscl,0.0
95,FLAG_DOCUMENT_16_stdscl,0.0003489916816304459
96,FLAG_DOCUMENT_17_stdscl,0.0
97,FLAG_DOCUMENT_18_stdscl,0.0
98,FLAG_DOCUMENT_19_stdscl,0.0
99,FLAG_DOCUMENT_20_stdscl,0.0
100,FLAG_DOCUMENT_21_stdscl,0.0
101,AMT_REQ_CREDIT_BUREAU_HOUR_stdscl,0.0
102,AMT_REQ_CREDIT_BUREAU_DAY_stdscl,0.0
103,AMT_REQ_CREDIT_BUREAU_WEEK_stdscl,0.00022235520187446412
104,AMT_REQ_CREDIT_BUREAU_MON_stdscl,0.0004277909181174796
105,AMT_REQ_CREDIT_BUREAU_QRT_stdscl,0.005109856490652453
106,AMT_REQ_CREDIT_BUREAU_YEAR_stdscl,0.00253115767830483
107,NEW_CREDIT_TO_ANNUITY_RATIO_stdscl,0.09380094613118269
108,NEW_CREDIT_TO_GOODS_RATIO_stdscl,0.09595916666872872
109,NEW_DOC_IND_KURT_stdscl,0.07636717653238685
110,NEW_LIVE_IND_SUM_stdscl,0.0006316307054680709
111,NEW_INC_PER_CHLD_stdscl,0.005378052096620168
112,NEW_INC_BY_ORG_stdscl,0.014392765392778452
113,NEW_EMPLOY_TO_BIRTH_RATIO_stdscl,0.0303381196667756
114,NEW_ANNUITY_TO_INCOME_RATIO_stdscl,0.035279733351409645
115,NEW_SOURCES_PROD_stdscl,0.10635921566595993
116,NEW_EXT_SOURCES_SUM_stdscl,0.2799356552304566
117,NEW_SCORES_STD_stdscl,0.008404208505887639
118,NEW_CAR_TO_BIRTH_RATIO_stdscl,0.01972489781251343
119,NEW_CAR_TO_EMPLOY_RATIO_stdscl,0.023219775795334664
120,NEW_PHONE_TO_BIRTH_RATIO_stdscl,0.005367509257989914
121,NEW_CREDIT_TO_INCOME_RATIO_stdscl,0.014067190915108644
122,NAME_CONTRACT_TYPE_Cash loans_stdscl,6.231539980577852e-06
123,NAME_CONTRACT_TYPE_Revolving loans_stdscl,0.0
124,NAME_TYPE_SUITE_Children_stdscl,0.0
125,NAME_TYPE_SUITE_Family_stdscl,0.0004803089496588646
126,NAME_TYPE_SUITE_Group of people_stdscl,0.0
127,NAME_TYPE_SUITE_Other_A_stdscl,0.0
128,NAME_TYPE_SUITE_Other_B_stdscl,0.0
129,"NAME_TYPE_SUITE_Spouse, partner_stdscl",0.002367798963490368
130,NAME_TYPE_SUITE_Unaccompanied_stdscl,6.614017599410373e-05
131,NAME_INCOME_TYPE_Businessman_stdscl,0.0
132,NAME_INCOME_TYPE_Commercial associate_stdscl,0.0
133,NAME_INCOME_TYPE_Maternity leave_stdscl,0.0
134,NAME_INCOME_TYPE_Pensioner_stdscl,0.0
135,NAME_INCOME_TYPE_State servant_stdscl,0.011042593864799173
136,NAME_INCOME_TYPE_Student_stdscl,0.0
137,NAME_INCOME_TYPE_Unemployed_stdscl,0.0
138,NAME_INCOME_TYPE_Working_stdscl,0.006704139548713359
139,NAME_EDUCATION_TYPE_Academic degree_stdscl,0.0
140,NAME_EDUCATION_TYPE_Higher education_stdscl,0.04116163012143227
141,NAME_EDUCATION_TYPE_Incomplete higher_stdscl,0.001592949109363192
142,NAME_EDUCATION_TYPE_Lower secondary_stdscl,0.00020033536190925002
143,NAME_EDUCATION_TYPE_Secondary / secondary special_stdscl,0.024609217143914213
144,NAME_FAMILY_STATUS_Civil marriage_stdscl,7.928148294320355e-05
145,NAME_FAMILY_STATUS_Married_stdscl,0.041511384954923417
146,NAME_FAMILY_STATUS_Separated_stdscl,0.0
147,NAME_FAMILY_STATUS_Single / not married_stdscl,0.0001581808934997437
148,NAME_FAMILY_STATUS_Unknown_stdscl,0.0
149,NAME_FAMILY_STATUS_Widow_stdscl,0.0
150,NAME_HOUSING_TYPE_Co-op apartment_stdscl,0.0
151,NAME_HOUSING_TYPE_House / apartment_stdscl,0.0005181357513837136
152,NAME_HOUSING_TYPE_Municipal apartment_stdscl,0.0002056421489284628
153,NAME_HOUSING_TYPE_Office apartment_stdscl,0.00041017245600891996
154,NAME_HOUSING_TYPE_Rented apartment_stdscl,0.0
155,NAME_HOUSING_TYPE_With parents_stdscl,0.0
156,OCCUPATION_TYPE_Accountants_stdscl,0.0008770178036994555
157,OCCUPATION_TYPE_Cleaning staff_stdscl,0.0
158,OCCUPATION_TYPE_Cooking staff_stdscl,0.0
159,OCCUPATION_TYPE_Core staff_stdscl,0.005638987884874686
160,OCCUPATION_TYPE_Drivers_stdscl,0.006251496987267611
161,OCCUPATION_TYPE_HR staff_stdscl,0.0
162,OCCUPATION_TYPE_High skill tech staff_stdscl,0.0006269878438547891
163,OCCUPATION_TYPE_IT staff_stdscl,0.0
164,OCCUPATION_TYPE_Laborers_stdscl,0.003045947412710492
165,OCCUPATION_TYPE_Low-skill Laborers_stdscl,0.00023642310828833114
166,OCCUPATION_TYPE_Managers_stdscl,0.0
167,OCCUPATION_TYPE_Medicine staff_stdscl,0.0019522370937161283
168,OCCUPATION_TYPE_Private service staff_stdscl,0.0
169,OCCUPATION_TYPE_Realty agents_stdscl,0.0
170,OCCUPATION_TYPE_Sales staff_stdscl,0.0016423860182688437
171,OCCUPATION_TYPE_Secretaries_stdscl,0.0
172,OCCUPATION_TYPE_Security staff_stdscl,0.0
173,OCCUPATION_TYPE_Waiters/barmen staff_stdscl,0.0
174,WEEKDAY_APPR_PROCESS_START_FRIDAY_stdscl,0.0
175,WEEKDAY_APPR_PROCESS_START_MONDAY_stdscl,0.002139238429912676
176,WEEKDAY_APPR_PROCESS_START_SATURDAY_stdscl,0.004624627583534644
177,WEEKDAY_APPR_PROCESS_START_SUNDAY_stdscl,5.971525220734089e-05
178,WEEKDAY_APPR_PROCESS_START_THURSDAY_stdscl,0.000395401422308642
179,WEEKDAY_APPR_PROCESS_START_TUESDAY_stdscl,0.0006720196383307394
180,WEEKDAY_APPR_PROCESS_START_WEDNESDAY_stdscl,0.0
181,ORGANIZATION_TYPE_Advertising_stdscl,0.0
182,ORGANIZATION_TYPE_Agriculture_stdscl,0.0
183,ORGANIZATION_TYPE_Bank_stdscl,0.00033623271687676645
184,ORGANIZATION_TYPE_Business Entity Type 1_stdscl,0.0
185,ORGANIZATION_TYPE_Business Entity Type 2_stdscl,0.0
186,ORGANIZATION_TYPE_Business Entity Type 3_stdscl,0.002271592472781485
187,ORGANIZATION_TYPE_Cleaning_stdscl,0.0
188,ORGANIZATION_TYPE_Construction_stdscl,0.001420377051294885
189,ORGANIZATION_TYPE_Culture_stdscl,0.0
190,ORGANIZATION_TYPE_Electricity_stdscl,0.0
191,ORGANIZATION_TYPE_Emergency_stdscl,0.0
192,ORGANIZATION_TYPE_Government_stdscl,0.00010170675387223668
193,ORGANIZATION_TYPE_Hotel_stdscl,0.0002530748860786626
194,ORGANIZATION_TYPE_Housing_stdscl,0.0
195,ORGANIZATION_TYPE_Industry: type 1_stdscl,0.0
196,ORGANIZATION_TYPE_Industry: type 10_stdscl,0.0
197,ORGANIZATION_TYPE_Industry: type 11_stdscl,0.0
198,ORGANIZATION_TYPE_Industry: type 12_stdscl,0.0
199,ORGANIZATION_TYPE_Industry: type 13_stdscl,0.0
200,ORGANIZATION_TYPE_Industry: type 2_stdscl,0.0
201,ORGANIZATION_TYPE_Industry: type 3_stdscl,0.0
202,ORGANIZATION_TYPE_Industry: type 4_stdscl,7.444595003824393e-05
203,ORGANIZATION_TYPE_Industry: type 5_stdscl,0.0002550067331604334
204,ORGANIZATION_TYPE_Industry: type 6_stdscl,0.0
205,ORGANIZATION_TYPE_Industry: type 7_stdscl,0.0
206,ORGANIZATION_TYPE_Industry: type 8_stdscl,0.0
207,ORGANIZATION_TYPE_Industry: type 9_stdscl,0.0021433633189118606
208,ORGANIZATION_TYPE_Insurance_stdscl,0.0
209,ORGANIZATION_TYPE_Kindergarten_stdscl,0.000433335617725399
210,ORGANIZATION_TYPE_Legal Services_stdscl,0.0
211,ORGANIZATION_TYPE_Medicine_stdscl,0.00029900342756215923
212,ORGANIZATION_TYPE_Military_stdscl,0.0022776960536828803
213,ORGANIZATION_TYPE_Mobile_stdscl,0.0
214,ORGANIZATION_TYPE_Other_stdscl,0.0004306513848352797
215,ORGANIZATION_TYPE_Police_stdscl,0.0012745965033700425
216,ORGANIZATION_TYPE_Postal_stdscl,0.0
217,ORGANIZATION_TYPE_Realtor_stdscl,5.88051823232287e-05
218,ORGANIZATION_TYPE_Religion_stdscl,0.0
219,ORGANIZATION_TYPE_Restaurant_stdscl,0.0
220,ORGANIZATION_TYPE_School_stdscl,0.0021328960797713952
221,ORGANIZATION_TYPE_Security_stdscl,0.0
222,ORGANIZATION_TYPE_Security Ministries_stdscl,0.000798274752630502
223,ORGANIZATION_TYPE_Self-employed_stdscl,0.008575124870472853
224,ORGANIZATION_TYPE_Services_stdscl,0.0
225,ORGANIZATION_TYPE_Telecom_stdscl,0.0
226,ORGANIZATION_TYPE_Trade: type 1_stdscl,0.0
227,ORGANIZATION_TYPE_Trade: type 2_stdscl,0.0
228,ORGANIZATION_TYPE_Trade: type 3_stdscl,0.0
229,ORGANIZATION_TYPE_Trade: type 4_stdscl,0.0
230,ORGANIZATION_TYPE_Trade: type 5_stdscl,0.0
231,ORGANIZATION_TYPE_Trade: type 6_stdscl,0.0
232,ORGANIZATION_TYPE_Trade: type 7_stdscl,0.0
233,ORGANIZATION_TYPE_Transport: type 1_stdscl,0.0
234,ORGANIZATION_TYPE_Transport: type 2_stdscl,0.0
235,ORGANIZATION_TYPE_Transport: type 3_stdscl,0.0005762622244003078
236,ORGANIZATION_TYPE_Transport: type 4_stdscl,0.00029406126614295937
237,ORGANIZATION_TYPE_University_stdscl,0.0
238,ORGANIZATION_TYPE_XNA_stdscl,0.0
239,FONDKAPREMONT_MODE_not specified_stdscl,0.0
240,FONDKAPREMONT_MODE_org spec account_stdscl,0.00028743674539377835
241,FONDKAPREMONT_MODE_reg oper account_stdscl,0.0
242,FONDKAPREMONT_MODE_reg oper spec account_stdscl,0.0
243,HOUSETYPE_MODE_block of flats_stdscl,0.00036648909147804303
244,HOUSETYPE_MODE_specific housing_stdscl,0.0
245,HOUSETYPE_MODE_terraced house_stdscl,0.0
246,WALLSMATERIAL_MODE_Block_stdscl,0.0
247,WALLSMATERIAL_MODE_Mixed_stdscl,0.0
248,WALLSMATERIAL_MODE_Monolithic_stdscl,0.0
249,WALLSMATERIAL_MODE_Others_stdscl,0.0
250,WALLSMATERIAL_MODE_Panel_stdscl,0.0029868738922698246
251,"WALLSMATERIAL_MODE_Stone, brick_stdscl",0.005272569386852947
252,WALLSMATERIAL_MODE_Wooden_stdscl,0.0
253,EMERGENCYSTATE_MODE_No_stdscl,0.0
254,EMERGENCYSTATE_MODE_Yes_stdscl,0.0
255,BURO_DAYS_CREDIT_MIN_stdscl,0.008371901939800683
256,BURO_DAYS_CREDIT_MAX_stdscl,0.009058956483286244
257,BURO_DAYS_CREDIT_MEAN_stdscl,0.010917311318657745
258,BURO_DAYS_CREDIT_VAR_stdscl,0.004288241138200475
259,BURO_DAYS_CREDIT_ENDDATE_MIN_stdscl,0.0012783759608070943
260,BURO_DAYS_CREDIT_ENDDATE_MAX_stdscl,0.011659990466944922
261,BURO_DAYS_CREDIT_ENDDATE_MEAN_stdscl,0.001645667406655537
262,BURO_DAYS_CREDIT_UPDATE_MEAN_stdscl,0.006617383369281539
263,BURO_CREDIT_DAY_OVERDUE_MAX_stdscl,0.00016418035768479697
264,BURO_CREDIT_DAY_OVERDUE_MEAN_stdscl,0.00039767317831666625
265,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN_stdscl,0.017491473400948147
266,BURO_AMT_CREDIT_SUM_MAX_stdscl,0.00936776199463763
267,BURO_AMT_CREDIT_SUM_MEAN_stdscl,0.005020960526050714
268,BURO_AMT_CREDIT_SUM_SUM_stdscl,0.0037715782913853055
269,BURO_AMT_CREDIT_SUM_DEBT_MAX_stdscl,0.001719226191058365
270,BURO_AMT_CREDIT_SUM_DEBT_MEAN_stdscl,0.0436905619402321
271,BURO_AMT_CREDIT_SUM_DEBT_SUM_stdscl,0.004193008011484432
272,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN_stdscl,0.0020348767306069076
273,BURO_AMT_CREDIT_SUM_LIMIT_MEAN_stdscl,0.004110314528056895
274,BURO_AMT_CREDIT_SUM_LIMIT_SUM_stdscl,0.0005563426774770171
275,BURO_AMT_ANNUITY_MAX_stdscl,0.001278013682989335
276,BURO_AMT_ANNUITY_MEAN_stdscl,0.0034010861120580935
277,BURO_CNT_CREDIT_PROLONG_SUM_stdscl,0.0
278,BURO_MONTHS_BALANCE_MIN_MIN_stdscl,0.0020043694833407565
279,BURO_MONTHS_BALANCE_MAX_MAX_stdscl,0.0
280,BURO_MONTHS_BALANCE_SIZE_MEAN_stdscl,0.0012800482677564524
281,BURO_MONTHS_BALANCE_SIZE_SUM_stdscl,0.004797916049966924
282,BURO_CREDIT_ACTIVE_Active_MEAN_stdscl,0.0064142318203369705
283,BURO_CREDIT_ACTIVE_Bad debt_MEAN_stdscl,0.0
284,BURO_CREDIT_ACTIVE_Closed_MEAN_stdscl,0.014163103943793574
285,BURO_CREDIT_ACTIVE_Sold_MEAN_stdscl,0.0
286,BURO_CREDIT_ACTIVE_nan_MEAN_stdscl,0.0
287,BURO_CREDIT_CURRENCY_currency 1_MEAN_stdscl,3.249652793165884e-06
288,BURO_CREDIT_CURRENCY_currency 2_MEAN_stdscl,0.0
289,BURO_CREDIT_CURRENCY_currency 3_MEAN_stdscl,0.0
290,BURO_CREDIT_CURRENCY_currency 4_MEAN_stdscl,0.0
291,BURO_CREDIT_CURRENCY_nan_MEAN_stdscl,0.0
292,BURO_CREDIT_TYPE_Another type of loan_MEAN_stdscl,0.0
293,BURO_CREDIT_TYPE_Car loan_MEAN_stdscl,0.0012465295922814775
294,BURO_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN_stdscl,0.0
295,BURO_CREDIT_TYPE_Consumer credit_MEAN_stdscl,0.002578697119198943
296,BURO_CREDIT_TYPE_Credit card_MEAN_stdscl,0.001569613634329534
297,BURO_CREDIT_TYPE_Interbank credit_MEAN_stdscl,0.0
